Akademia Nauk,1180,"53,98°N 159,45°E"
Akhtang,1956,"55,43°N 158,65°E"
Alney-Chashakondzha,2598,"56,70°N 159,65°E"
Alngey,1853,"57,70°N 160,40°E"
Anaun,1828,"56,32°N 158,83°E"
Asacha,1910,"52,355°N 157,827°E"
Atlasova,1764,"57,97°N 160,65°E"
Avachinsky,2741,"53,255°N 158,830°E"
Bakening,2278,"53,905°N 158,07°E"
Barkhatnaya Sopka,870,"52,823°N 158,27°E"
Belenkaya,892,"51,75°N 157,27°E"
Bely,2080,"57,88°N 160,53°E"
Bezymianny,2882,"55,97°N 160,58°E"
Bliznets,1244,"56,97°N 159,78°E"
Bolshaya Ipelka,1154,"52,67°N 156,9°E"
Bolshe-Bannaya,1200,"52,90°N 157,78°E"
Bolshoi Payalpan,1906,"55,88°N 157,78°E"
Bolshoy Semyachik,1720,"54,32°N 160,02°E"
Bolshoy Kekuknaysky,1401,"56,47°N 157,80°E"
Cherny,1778,"56,82°N 159,67°E"
Cherpuk Group,1868,"55,55°N 157,47°E"
Diky Greben,1331,"51,43°N 156,93°E"
Dzenzursky,2155,"53,637°N 158,922°E"
Eggella,1046,"56,57°N 158,52°E"
Fedotych,965,"57,13°N 160,40°E"
Gamchen,2576,"54,97°N 160,68°E"
Geodesistoy,1170,"56,33°N 158,67°E"
Golaya,858,"52,263°N 157,787°E"
Gorely,1829,"52,56°N 158,03°E"
Gorny Institute,2125,"57,33°N 160,20°E"
Ichinsky,3621,"55,68°N 157,73°E"
Iettunup,1340,"58,40°N 161,08°E"
Iktunup,2300,"58,08°N 160,77°E"
Ilyinsky,1578,"51,49°N 157,20°E"
Kaileney,1578,"51,49°N 157,20°E"
Kambalny,2156,"51,30°N 156,87°E"
Kamen,4585,"56,02°N 160,593°E"
Karymsky,1486,"54,1°N 159,4°E"
Kebeney,1527,"57,10°N 159,93°E"
Kekurny,1377,"56,40°N 158,85°E"
Kell,900,"51,65°N 157,35°E"
Khangar,2000,"54,75°N 157,38°E"
Khodutka,2090,"52,063°N 157,703°E"
Khuvkhoitun,2616,"57,917°N 160,683°E"
Kikhpinych,1552,"54,489°N 160,253°E"
Kizimen,2376,"55,130°N 160,32°E"
Klyuchevskaya Sopka,4688,"56,0°N 160,5°E"
Komarov,2070,"55,032°N 160,720°E"
Koryaksky,3456,"53,19°N 158,41°E"
Koshelev,1812,"51,357°N 156,75°E"
Kostakan,1150,"53,83°N 158,06°E"
Kozyrevsky,2016,"55,58°N 158,38°E"
Krainy,1554,"56,37°N 159,03°E"
Krasheninnikov,1856,"54,593°N 160,273°E"
Kronotsky,3528,"54,9°N 160,52°E"
Ksudach,1079,"51,80°N 157,53°E"
Kulkev,915,"56,37°N 158,37°E"
